full_name,gender,age,national_id,county,sub_county,constituency,ward,polling_station,registration_year,occupation,voter_status
Jepchirchir Atieno,Female,54,46570403,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2022,Clerk,Active
Ngugi Salim,Male,46,38153498,Nakuru,Rongai,Rongai,Soin,Soin Primary School,2022,Shopkeeper,Active
Njoroge Kariuki,Male,54,24793519,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2022,Accountant,Active
Nyaguthii Jelimo,Female,23,40145908,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2027,Clerk,Active
Akinyi Njoroge,Female,23,49544950,Nakuru,Nakuru Town East,Nakuru Town East,Flamingo,Flamingo Primary School,2022,Trader,Active
Nyaguthii Ochieng,Female,78,28669062,Machakos,Mavoko,Mavoko,Syokimau,Syokimau Primary School,2017,Engineer,Active
Kimani Thuo,Male,69,10436124,Machakos,Mavoko,Mavoko,Athi River,Athi River Primary School,2027,Self-employed,Active
Hassan Salim,Male,83,20714555,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2027,Farmer,Active
Mwanaidi Kariuki,Female,81,38361172,Nakuru,Rongai,Rongai,Solai,Solai Primary School,2022,Mechanic,Active
Njeri Njenga,Female,21,32833825,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2027,Casual Worker,Active
Barasa Otieno,Male,32,28647630,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2022,Teacher,Active
Kinyanjui Njenga,Male,78,20434052,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2017,Self-employed,Active
Gacheru Waweru,Male,61,24449461,Mombasa,Likoni,Likoni,Likoni,Likoni Primary School,2027,Self-employed,Active
Kipkoech Mwenda,Male,79,32588477,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2017,Self-employed,Active
Rotich Gitahi,Female,67,16859215,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2017,Mechanic,Active
Jelimo Gacheru,Female,22,16224068,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2013,Casual Worker,Active
Gitahi Kimani,Male,70,35496489,Eldoret,Turbo,Turbo,Eldoret East,Eldoret East Primary School,2027,Trader,Active
Amina Ruto,Female,66,16490526,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2027,Police Officer,Active
Fatuma Mutua,Female,29,34090698,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2022,Teacher,Active
Gitahi Auma,Male,59,33082477,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2022,Driver,Active
Wairimu Omar,Female,40,27751694,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2013,Tailor,Active
Kinyanjui Ngugi,Male,76,12915909,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2017,Farmer,Active
Wangari Auma,Female,56,40831481,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2022,Student,Active
Muthoni Koech,Female,48,45985658,Machakos,Mavoko,Mavoko,Syokimau,Syokimau Primary School,2017,Engineer,Active
Akinyi Ruto,Female,24,18376941,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2027,Clerk,Active
Mumbi Muriithi,Female,50,35403012,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2022,Clerk,Active
Kariuki Odhiambo,Male,64,15288191,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2022,Teacher,Active
Mwanaidi Ochieng,Female,64,47046819,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2022,Shopkeeper,Active
Koech Atieno,Male,77,29674861,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2027,Trader,Active
Hamisi Kinyanjui,Male,51,34268915,Mombasa,Likoni,Likoni,Mtongwe,Mtongwe Primary School,2022,Accountant,Active
Safia Kinyanjui,Female,21,48745446,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2022,Self-employed,Active
Njoroge Adhiambo,Male,35,22904268,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2013,Farmer,Active
Wambui Kimani,Female,76,14667767,Nakuru,Nakuru Town East,Nakuru Town East,Menengai,Menengai Primary School,2017,Clerk,Active
Wairimu Kiptoo,Female,70,13075222,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2027,Driver,Active
Kwamboka Bosibori,Female,30,25293994,Eldoret,Turbo,Turbo,Lemook,Lemook Primary School,2027,Engineer,Active
Zawadi Ruto,Female,76,29420497,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2013,Nurse,Active
Mwangi Thuo,Male,44,15354748,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2013,Mechanic,Active
Ngugi Thuo,Male,36,25622331,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2027,Self-employed,Active
Waweru Mwangi,Male,48,16778091,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2022,Farmer,Active
Mutua Kiptoo,Male,75,35509839,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2022,Self-employed,Active
Mumbi Odhiambo,Female,25,28654492,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2027,Tailor,Active
Kinyanjui Bosibori,Male,36,40427850,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2013,Driver,Active
Safia Njenga,Female,32,34483473,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2027,Police Officer,Active
Maina Bosibori,Male,76,20915531,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2017,Clerk,Active
Halima Salim,Female,26,34842424,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2013,Teacher,Active
Salim Waweru,Male,60,33841813,Nairobi,Dagoretti North,Dagoretti North,Kabiro,Kabiro Primary School,2022,Student,Active
Zawadi Njenga,Female,82,24059778,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2017,Police Officer,Active
Omar Kinyanjui,Male,46,27916578,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2027,Tailor,Active
Cheruiyot Mwangi,Male,61,14791741,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2017,Trader,Active
Atieno Ngugi,Female,45,21484920,Nairobi,Westlands,Westlands,Kitisuru,Kitisuru Primary School,2017,Accountant,Active
Muthoni Gitahi,Female,38,45845520,Mombasa,Mvita,Mvita,Tudor,Tudor Primary School,2022,Farmer,Active
Jepchirchir Moraa,Female,52,26428983,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2017,Self-employed,Active
Wambui Njenga,Female,46,20965755,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2017,Casual Worker,Active
Barasa Cheruiyot,Male,59,41021757,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2013,Accountant,Active
Mutua Gacheru,Male,68,35464823,Nakuru,Rongai,Rongai,Soin,Soin Primary School,2027,Farmer,Active
Atieno Gitahi,Female,55,28115891,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2013,Farmer,Inactive
Thuo Kinyanjui,Male,49,47376264,Mombasa,Likoni,Likoni,Mtongwe,Mtongwe Primary School,2022,Student,Active
Muthoni Thuo,Female,27,24738124,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2022,Teacher,Active
Omar Muriithi,Male,36,31762245,Kisumu,Kisumu Central,Kisumu Central,Shaurimoyo,Shaurimoyo Primary School,2017,Trader,Active
Kiptoo Akinyi,Male,59,13753932,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2027,Police Officer,Active
Atieno Atieno,Female,25,25371155,Eldoret,Kapseret,Kapseret,Kipkenyo,Kipkenyo Primary School,2017,Teacher,Active
Fatuma Kariuki,Female,29,12154210,Meru,Igembe South,Igembe South,Maua,Maua Primary School,2022,Self-employed,Active
Gitahi Koech,Male,37,31169695,Meru,Igembe South,Igembe South,Athiru Rujiine,Athiru Rujiine Primary School,2027,Accountant,Active
Adhiambo Jelimo,Female,74,36921713,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2027,Self-employed,Active
Salim Kinyanjui,Male,61,27967786,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2022,Farmer,Active
Atieno Thuo,Female,50,14441842,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2022,Police Officer,Inactive
Ahmed Njoroge,Male,68,24158818,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2013,Clerk,Inactive
Safia Thuo,Female,83,48062808,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2017,Engineer,Active
Ahmed Akinyi,Male,37,31117675,Nakuru,Nakuru Town East,Nakuru Town East,Kivumbini,Kivumbini Primary School,2013,Tailor,Active
Ahmed Waweru,Male,41,24269125,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2027,Mechanic,Active
Gitahi Odhiambo,Male,74,43502842,Machakos,Mavoko,Mavoko,Mlolongo,Mlolongo Primary School,2022,Mechanic,Active
Mumbi Omar,Female,65,36550407,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2022,Casual Worker,Under Review
Wangari Gacheru,Female,35,40793026,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2027,Farmer,Active
Nyambura Omondi,Female,52,19587950,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2022,Self-employed,Active
Adhiambo Hassan,Female,71,27775807,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2013,Self-employed,Active
Adhiambo Kinyanjui,Female,30,19370432,Nakuru,Nakuru Town East,Nakuru Town East,Flamingo,Flamingo Primary School,2027,Police Officer,Active
Mutua Odhiambo,Male,78,26550891,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2022,Farmer,Active
Koech Cheruiyot,Male,54,47672777,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2017,Teacher,Active
Rotich Mutua,Female,20,46170153,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2022,Casual Worker,Active
Kipkoech Moraa,Male,48,27632290,Nairobi,Dagoretti North,Dagoretti North,Ruthimitu,Ruthimitu Primary School,2022,Trader,Active
Salim Mutua,Male,23,49230901,Nairobi,Embakasi East,Embakasi East,Lower Savanna,Lower Savanna Primary School,2022,Engineer,Active
Omar Mutua,Male,60,38751707,Meru,Imenti North,Imenti North,Municipality,Municipality Primary School,2013,Engineer,Active
Thuo Atieno,Male,76,49160231,Kisumu,Kisumu Central,Kisumu Central,Shaurimoyo,Shaurimoyo Primary School,2013,Nurse,Active
Otieno Gitahi,Male,78,36803314,Kiambu,Ruiru,Ruiru,Kahawa Wendani,Kahawa Wendani Primary School,2017,Mechanic,Active
Zuhura Kariuki,Female,65,34293170,Meru,Igembe South,Igembe South,Maua,Maua Primary School,2022,Student,Active
Amina Ochieng,Female,84,24718366,Eldoret,Kapseret,Kapseret,Kipkenyo,Kipkenyo Primary School,2017,Teacher,Active
Maina Ochieng,Male,28,19283286,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2017,Driver,Active
Kemunto Bosibori,Female,63,44193730,Meru,Igembe South,Igembe South,Maua,Maua Primary School,2022,Student,Active
Njoroge Ruto,Male,36,43119287,Meru,Imenti North,Imenti North,Municipality,Municipality Primary School,2027,Police Officer,Active
Mutua Mutua,Male,67,16100827,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2027,Farmer,Active
Khadija Kinyanjui,Female,35,13161926,Eldoret,Turbo,Turbo,Ngenyilel,Ngenyilel Primary School,2022,Student,Active
Gathoni Omondi,Female,81,17358428,Nairobi,Dagoretti North,Dagoretti North,Uthiru,Uthiru Primary School,2022,Shopkeeper,Active
Waceera Bosibori,Female,43,20257007,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2013,Tailor,Active
Gitahi Njoroge,Male,55,20736210,Meru,Igembe South,Igembe South,Maua,Maua Primary School,2027,Tailor,Active
Salim Jelimo,Male,35,38330675,Nakuru,Nakuru Town East,Nakuru Town East,Kivumbini,Kivumbini Primary School,2017,Accountant,Active
Rotich Waweru,Female,68,14263272,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2027,Clerk,Active
Mwanaidi Mutua,Female,75,35821297,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2022,Self-employed,Active
Mutua Moraa,Male,37,35610036,Nairobi,Westlands,Westlands,Kitisuru,Kitisuru Primary School,2017,Trader,Active
Omar Njenga,Male,53,49989395,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2013,Driver,Active
Gacheru Auma,Male,61,41410296,Kisumu,Kisumu Central,Kisumu Central,Kondele,Kondele Primary School,2027,Casual Worker,Active
Omondi Odhiambo,Male,71,45508262,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2022,Farmer,Active
Muthoni Atieno,Female,76,26872115,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2013,Farmer,Active
Jelimo Adhiambo,Female,36,47126361,Nakuru,Rongai,Rongai,Solai,Solai Primary School,2017,Clerk,Active
Rehema Waweru,Female,48,10770478,Meru,Imenti North,Imenti North,Ntima West,Ntima West Primary School,2022,Driver,Active
Kariuki Kariuki,Male,71,17687437,Kiambu,Ruiru,Ruiru,Kahawa Wendani,Kahawa Wendani Primary School,2017,Tailor,Active
Halima Koech,Female,77,46035468,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2022,Driver,Active
Hamisi Jelimo,Male,63,27906335,Eldoret,Turbo,Turbo,Eldoret East,Eldoret East Primary School,2013,Driver,Active
Wangari Otieno,Female,51,32828789,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2022,Mechanic,Active
Hamisi Kariuki,Male,54,17486139,Nakuru,Rongai,Rongai,Solai,Solai Primary School,2013,Self-employed,Active
Wambui Waweru,Female,61,29696460,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2022,Engineer,Active
Gacheru Ruto,Male,35,39176602,Nairobi,Westlands,Westlands,Kangemi,Kangemi Primary School,2022,Mechanic,Active
Wairimu Jelimo,Female,58,20613787,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2017,Casual Worker,Active
Amina Jelimo,Female,20,40448882,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2017,Police Officer,Active
Muthoni Mwangi,Female,47,10217789,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2022,Casual Worker,Active
Wairimu Omar,Female,42,27675739,Nairobi,Dagoretti North,Dagoretti North,Riruta,Riruta Primary School,2013,Engineer,Active
Kwamboka Kiptoo,Female,84,43593765,Eldoret,Turbo,Turbo,Eldoret East,Eldoret East Primary School,2017,Engineer,Under Review
Safia Gitahi,Female,61,21989124,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2022,Police Officer,Active
Jelimo Koech,Female,56,44069940,Nakuru,Rongai,Rongai,Solai,Solai Primary School,2017,Driver,Active
Kinyanjui Gitahi,Male,53,17141109,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2017,Casual Worker,Active
Rehema Muriithi,Female,54,30028290,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2027,Teacher,Active
Waceera Atieno,Female,52,44068679,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2027,Clerk,Active
Njenga Omar,Male,46,23348698,Nairobi,Dagoretti North,Dagoretti North,Kabiro,Kabiro Primary School,2022,Farmer,Active
Jelimo Kimani,Female,38,20256869,Kisumu,Kisumu Central,Kisumu Central,Kondele,Kondele Primary School,2022,Shopkeeper,Active
Jelimo Koech,Female,25,35092933,Kiambu,Ruiru,Ruiru,Gatongora,Gatongora Primary School,2027,Teacher,Active
Otieno Ochieng,Male,68,20841372,Machakos,Machakos Town,Machakos Town,Mutituni,Mutituni Primary School,2022,Trader,Inactive
Fatuma Otieno,Female,54,46197113,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2022,Police Officer,Active
Njeri Jelimo,Female,32,45591432,Eldoret,Kapseret,Kapseret,Megun,Megun Primary School,2017,Clerk,Active
Moraa Otieno,Female,42,10038379,Meru,Igembe South,Igembe South,Athiru Rujiine,Athiru Rujiine Primary School,2017,Tailor,Active
Chebet Jelimo,Female,30,31753744,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2017,Trader,Active
Kamau Salim,Male,52,42789774,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2027,Driver,Active
Koech Kinyanjui,Male,77,11307062,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2017,Student,Active
Wambui Njenga,Female,35,17507315,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2022,Accountant,Active
Mwanaidi Atieno,Female,28,34359226,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2022,Self-employed,Active
Waweru Kariuki,Male,59,30636923,Nakuru,Nakuru Town East,Nakuru Town East,Kivumbini,Kivumbini Primary School,2027,Accountant,Active
Kinyanjui Njoroge,Male,34,26069372,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2022,Accountant,Active
Muthoni Mwangi,Female,45,13887292,Machakos,Mavoko,Mavoko,Syokimau,Syokimau Primary School,2022,Farmer,Active
Mwangi Mutua,Male,70,26164618,Eldoret,Turbo,Turbo,Lemook,Lemook Primary School,2017,Trader,Active
Khadija Gacheru,Female,28,48074679,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2022,Police Officer,Active
Omar Omondi,Male,34,15285296,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2022,Nurse,Active
Barasa Adhiambo,Male,49,15748105,Machakos,Mavoko,Mavoko,Mlolongo,Mlolongo Primary School,2022,Trader,Active
Otieno Kiptoo,Male,26,42614267,Nairobi,Westlands,Westlands,Mountain View,Mountain View Primary School,2013,Farmer,Active
Njenga Odhiambo,Male,45,14644773,Machakos,Mavoko,Mavoko,Mlolongo,Mlolongo Primary School,2022,Mechanic,Active
Mumbi Gitahi,Female,36,45749305,Meru,Imenti North,Imenti North,Ntima West,Ntima West Primary School,2027,Self-employed,Active
Nyaguthii Kariuki,Female,81,18439645,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2013,Engineer,Inactive
Halima Kiptoo,Female,66,18616205,Machakos,Machakos Town,Machakos Town,Mua,Mua Primary School,2017,Self-employed,Active
Barasa Ngugi,Male,70,41895660,Eldoret,Turbo,Turbo,Ngenyilel,Ngenyilel Primary School,2027,Self-employed,Active
Gathoni Salim,Female,75,46896694,Nakuru,Rongai,Rongai,Soin,Soin Primary School,2027,Teacher,Active
Mwangi Barasa,Male,42,21081482,Machakos,Machakos Town,Machakos Town,Mutituni,Mutituni Primary School,2027,Casual Worker,Active
Muriithi Cheruiyot,Male,45,27787649,Meru,Igembe South,Igembe South,Maua,Maua Primary School,2027,Clerk,Active
Gathoni Cheruiyot,Female,59,45411588,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2022,Student,Active
Muthoni Salim,Female,30,38396306,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2027,Clerk,Active
Kwamboka Kinyanjui,Female,46,24213536,Meru,Igembe South,Igembe South,Maua,Maua Primary School,2022,Farmer,Active
Wangari Ngugi,Female,66,46191547,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2022,Nurse,Active
Waceera Akinyi,Female,63,23499019,Eldoret,Kapseret,Kapseret,Megun,Megun Primary School,2017,Clerk,Active
Mwangi Odhiambo,Male,70,30918926,Mombasa,Mvita,Mvita,Mji wa Kale,Mji wa Kale Primary School,2013,Police Officer,Active
Kamau Cheruiyot,Male,79,36775919,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2022,Farmer,Active
Wanjiku Mwangi,Female,82,35059825,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2027,Police Officer,Active
Kariuki Kimani,Male,85,39400398,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2017,Engineer,Active
Adhiambo Kinyanjui,Female,49,44733926,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2027,Nurse,Active
Otieno Njoroge,Male,78,40298722,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2013,Farmer,Active
Kinyanjui Moraa,Male,23,18120454,Meru,Imenti North,Imenti North,Nyaki East,Nyaki East Primary School,2017,Shopkeeper,Active
Nyaguthii Odhiambo,Female,22,26636664,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2017,Tailor,Active
Ochieng Ruto,Male,48,25079183,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2022,Tailor,Active
Safia Waweru,Female,30,14296705,Mombasa,Likoni,Likoni,Mtongwe,Mtongwe Primary School,2022,Tailor,Active
Halima Mwangi,Female,47,32688538,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2017,Student,Active
Adhiambo Njenga,Female,52,11411585,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2017,Clerk,Active
Rashid Gitahi,Male,18,49480729,Meru,Imenti North,Imenti North,Municipality,Municipality Primary School,2027,Accountant,Active
Nyambura Waweru,Female,75,47173044,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2022,Self-employed,Active
Omondi Muriithi,Male,19,25442738,Mombasa,Likoni,Likoni,Likoni,Likoni Primary School,2017,Student,Active
Kimani Gacheru,Male,56,49489547,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2017,Trader,Active
Nyaguthii Kiptoo,Female,64,24778538,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2017,Nurse,Active
Bosibori Adhiambo,Female,18,10482569,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2027,Engineer,Active
Amina Bosibori,Female,35,14764265,Meru,Igembe South,Igembe South,Athiru Rujiine,Athiru Rujiine Primary School,2017,Casual Worker,Inactive
Muriithi Gitahi,Male,55,13950951,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2022,Police Officer,Active
Hassan Gacheru,Male,32,25364023,Kiambu,Ruiru,Ruiru,Gatongora,Gatongora Primary School,2027,Nurse,Active
Kipchoge Adhiambo,Male,26,14523159,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2027,Mechanic,Active
Njeri Mwenda,Female,72,12108087,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2022,Teacher,Active
Rehema Jelimo,Female,28,32174680,Machakos,Machakos Town,Machakos Town,Mua,Mua Primary School,2013,Nurse,Active
Kemunto Odhiambo,Female,31,14755156,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2013,Driver,Active
Gitahi Kinyanjui,Male,82,44504433,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2017,Farmer,Active
Mwanaidi Njoroge,Female,57,25972220,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2017,Mechanic,Active
Zuhura Atieno,Female,58,28688292,Mombasa,Likoni,Likoni,Likoni,Likoni Primary School,2013,Farmer,Active
Kipchoge Thuo,Male,84,42575615,Mombasa,Mvita,Mvita,Tudor,Tudor Primary School,2017,Trader,Active
Rotich Hassan,Female,73,24377188,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2017,Clerk,Active
Gitahi Moraa,Male,44,46187376,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2017,Clerk,Active
Kariuki Ochieng,Male,76,18879297,Meru,Igembe South,Igembe South,Nyambene Hills,Nyambene Hills Primary School,2013,Police Officer,Active
Safia Ruto,Female,76,48322053,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2022,Tailor,Active
Adhiambo Waweru,Female,57,48668909,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2013,Engineer,Active
Mwanaidi Waweru,Female,80,41720415,Machakos,Mavoko,Mavoko,Mlolongo,Mlolongo Primary School,2022,Clerk,Active
Kimani Akinyi,Male,58,26307268,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2027,Casual Worker,Active
Wanjiku Akinyi,Female,82,41740676,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2022,Student,Active
Jepchirchir Akinyi,Female,21,37317331,Kisumu,Kisumu Central,Kisumu Central,Kondele,Kondele Primary School,2022,Nurse,Active
Mumbi Njenga,Female,81,22778193,Kisumu,Kisumu East,Kisumu East,Nyalenda B,Nyalenda B Primary School,2022,Teacher,Active
